"","COSPARID","RSO_NAME","RSO_TYPE","PAYLOAD_OPERATIONAL_STATUS","ORBIT_TYPE","APPLICATION","SOURCE","LAUNCH_SITE","LAUNCH_DATE","DECAY_DATE","ORBITAL_PERIOD","12","13","14","INCLINATION","APOGEE","PERIGEE","18","19","20","21","22","23","a","e","i","w","W","V","X_","Y_","Z_","33","34","35","36","37","38","39","40","41","42","LAUNCH_YEAR"
"15392","2019-010B","ONEWEB-0010","plat","+","u","u","UK","FRGUI","2019-02-27","1858-11-16",109.5,0,0,0,87.9,1204,1201,0,0,0,"u","","2022-10-13",7557.26,0.000963892,1.53521,6.10854,2.98705,2.27287,3724.88,-815.537,6530.19,6.21956,-0.837532,-3.64611,3162.75,-2104.97,6538.3,5.34724,-3.26793,-3.63252,2022,2019-01-01
"15393","2019-010C","ONEWEB-0008","plat","+","u","u","UK","FRGUI","2019-02-27","1858-11-16",108.5,0,0,0,88.1,1169,1145,0,0,0,"u","","2022-10-13",7530.74,0.00186778,1.53853,2.65766,3.30614,3.29296,-7047.94,-1089.78,-2461.82,-2.30057,-0.60651,6.86107,-6958.73,1536.52,-2477.26,-2.26599,0.781108,6.856,2022,2019-01-01
"15394","2019-010D","ONEWEB-0007","plat","+","u","u","UK","FRGUI","2019-02-27","1858-11-16",108,0,0,0,88.2,1151,1118,0,0,0,"u","","2022-10-13",7492.78,0.00285659,1.53997,1.77911,3.4109,4.86009,-6745.48,-1945.3,2609.2,2.52622,0.47882,6.8288,-6997.26,633.429,2594.38,2.56021,0.0462652,6.83432,2022,2019-01-01
"15395","2019-010E","ONEWEB-0006","plat","+","u","u","UK","FRGUI","2019-02-27","1858-11-16",106.9,0,0,0,88.3,1094,1072,0,0,0,"u","","2022-08-14",7433.75,0.0014314,1.5388,4.02488,3.37459,4.17824,2527.72,369.997,6986.76,6.66844,1.66509,-2.51034,1755.74,1834.88,6992.25,4.37816,5.28482,-2.49577,2022,2019-01-01
"15396","2019-010F","ONEWEB-0011","plat","+","u","u","UK","FRGUI","2019-02-27","1858-11-16",107.1,0,0,0,88.3,1101,1081,0,0,0,"u","","2022-09-03",7442.77,0.00133761,1.53912,2.04789,3.35465,0.256137,4899.3,880.97,5520.17,5.29023,1.30336,-4.89989,4368.58,2361.48,5530.86,4.80192,2.57356,-4.88831,2022,2019-01-01
"15397","2019-011A","CREW DRAGON DEMO-1","plat","D","u","u","US","AFETR","2019-03-02","2019-03-08",92.5,0,0,0,51.6,400,393,0,0,0,"u","","1858-11-16",6600,0,0,0,0,0,6600,0,0,0,7.77136,0,0,0,0,0,0,0,1858,2019-01-01
"15398","2019-009D","S5","plat","+","u","u","US","AFETR","2019-02-22","1858-11-16",1449.6,0,0,0,0.1,36062,36040,0,0,0,"u","","2022-08-04",42430.1,0.000282841,0.00143133,0.817634,1.49959,1.14461,-26739.9,32928.2,41.5301,-2.37994,-1.93274,0.00320101,-42353,2349.62,-15.7254,0.00156864,0.0272553,-0.00201612,2022,2019-01-01
"15399","2019-012A","CHINASAT 6C (ZX 6C)","plat","+","u","u","PRC","XICLF","2019-03-09","1858-11-16",1436.1,0,0,0,0,35796,35778,0,0,0,"u","","2022-08-26",42165.3,0.000276216,0.00112726,0.518163,4.86352,2.43228,41598.6,6854.44,47.5212,-0.499215,3.03424,-4.13706e-05,34357.1,24433.6,138.371,0.000189728,0.00102092,-0.00104862,2022,2019-01-01
"15400","2019-012B","CZ-3B R/B","rb","","u","u","PRC","XICLF","2019-03-09","1858-11-16",718.1,0,0,0,24.7,40225,144,0,0,0,"u","","2022-10-07",26864.6,0.758738,0.432863,3.83464,0.495005,3.75204,-932.671,33300.7,13745.6,-1.78193,-1.98387,-0.415536,7877.34,32369.4,13744.5,0.118193,-2.01669,-0.419495,2022,2019-01-01
"15401","2019-013A","SOYUZ-MS 12","plat","+","u","u","CIS","TYMSC","2019-03-14","1858-11-16",92.8,0,0,0,51.6,418,408,0,0,0,"u","ISS","2022-08-14",6784.74,0.00152422,0.901623,1.00144,0.129911,5.50337,6436.18,1772.87,1168.47,-2.28179,4.38374,5.8697,3988.61,5350.28,1182.52,-4.11285,1.75946,5.86484,2022,2019-01-01
