"","OBJECT_NAME","OBJECT_ID","NORAD_CAT_ID","OBJECT_TYPE","OPS_STATUS_CODE","OWNER","LAUNCH_DATE","LAUNCH_SITE","DECAY_DATE","PERIOD","INCLINATION","APOGEE","PERIGEE","RCS","DATA_STATUS_CODE","ORBIT_CENTER","ORBIT_TYPE","LAUNCH_YEAR"
"46791","STARLINK-1933","2020-074BE",46791,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46792","STARLINK-1934","2020-074BF",46792,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.06,548,546,NA,NA,"EA","ORB",2020-01-01
"46793","STARLINK-1941","2020-074BG",46793,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46794","STARLINK-1942","2020-074BH",46794,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46795","STARLINK-1943","2020-074BJ",46795,"PAY","D","US","2020-10-24","AFETR","2021-12-20",88.03,53.03,179,175,NA,NA,"EA","IMP",2020-01-01
"46796","STARLINK-1944","2020-074BK",46796,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46797","STARLINK-1947","2020-074BL",46797,"PAY","D","US","2020-10-24","AFETR","2022-04-30",88.25,53.03,195,181,NA,NA,"EA","IMP",2020-01-01
"46798","STARLINK-1948","2020-074BM",46798,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46803","FALCON 9 R/B","2020-074BS",46803,"R/B","D","US","2020-10-24","AFETR","2020-11-16",87.05,53.04,130,127,NA,NA,"EA","IMP",2020-01-01
"46805","COSMOS 2547 [GLONASS-K]","2020-075A",46805,"PAY","+","CIS","2020-10-25","PLMSC",NA,675.73,64.65,19150,19109,NA,NA,"EA","ORB",2020-01-01
"46806","FREGAT R/B","2020-075B",46806,"R/B",NA,"CIS","2020-10-25","PLMSC",NA,690.59,64.63,19672,19333,NA,NA,"EA","ORB",2020-01-01
"46807","YAOGAN-30 U","2020-076A",46807,"PAY","+","PRC","2020-10-26","XICLF",NA,96.59,35,596,594,NA,NA,"EA","ORB",2020-01-01
"46808","YAOGAN-30 V","2020-076B",46808,"PAY","+","PRC","2020-10-26","XICLF",NA,96.59,35,597,593,NA,NA,"EA","ORB",2020-01-01
"46809","YAOGAN-30 W","2020-076C",46809,"PAY","+","PRC","2020-10-26","XICLF",NA,96.59,35,601,590,NA,NA,"EA","ORB",2020-01-01
"46810","TIANQI-6","2020-076D",46810,"PAY","+","PRC","2020-10-26","XICLF",NA,96.49,35,600,581,NA,NA,"EA","ORB",2020-01-01
"46811","CZ-2C R/B","2020-076E",46811,"R/B",NA,"PRC","2020-10-26","XICLF",NA,94.69,35.33,581,426,NA,NA,"EA","ORB",2020-01-01
"46812","FLOCK 4V-25","2020-061BP",46812,"PAY","+","US","2020-09-03","FRGUI",NA,94.52,97.38,500,491,NA,NA,"EA","ORB",2020-01-01
"46813","FLOCK 4E'-1","2020-077A",46813,"PAY","+","US","2020-10-28","RLLB",NA,94.43,97.41,498,484,NA,NA,"EA","ORB",2020-01-01
"46814","FLOCK 4E'-7","2020-077B",46814,"PAY","+","US","2020-10-28","RLLB",NA,94.44,97.41,499,484,NA,NA,"EA","ORB",2020-01-01
"46815","FLOCK 4E'-9","2020-077C",46815,"PAY","+","US","2020-10-28","RLLB",NA,94.66,97.41,509,495,NA,NA,"EA","ORB",2020-01-01
"46816","FLOCK 4E'-8","2020-077D",46816,"PAY","+","US","2020-10-28","RLLB",NA,94.21,97.41,486,475,NA,NA,"EA","ORB",2020-01-01
"46817","FLOCK 4E'-5","2020-077E",46817,"PAY","+","US","2020-10-28","RLLB",NA,94.43,97.41,499,483,NA,NA,"EA","ORB",2020-01-01
"46818","CE-SAT IIB","2020-077F",46818,"PAY","+","JPN","2020-10-28","RLLB",NA,94.78,97.4,517,499,NA,NA,"EA","ORB",2020-01-01
"46819","FLOCK 4E'-3","2020-077G",46819,"PAY","+","US","2020-10-28","RLLB",NA,94.44,97.41,500,483,NA,NA,"EA","ORB",2020-01-01
"46820","FLOCK 4E'-2","2020-077H",46820,"PAY","+","US","2020-10-28","RLLB",NA,94.44,97.41,499,484,NA,NA,"EA","ORB",2020-01-01
"46821","FLOCK 4E'-4","2020-077J",46821,"PAY","+","US","2020-10-28","RLLB",NA,94.57,97.41,506,489,NA,NA,"EA","ORB",2020-01-01
"46822","FLOCK 4E'-6","2020-077K",46822,"PAY","+","US","2020-10-28","RLLB",NA,94.61,97.41,507,493,NA,NA,"EA","ORB",2020-01-01
"46823","ELECTRON R/B","2020-077L",46823,"R/B","D","US","2020-10-28","RLLB","2020-11-11",87.55,97.47,173,134,NA,NA,"EA","IMP",2020-01-01
"46824","ELECTRON KICK STAGE R/B","2020-077M",46824,"R/B",NA,"US","2020-10-28","RLLB",NA,94.49,96.61,500,488,NA,NA,"EA","ORB",2020-01-01
"46825","FLOCK 4V-26","2020-061BQ",46825,"PAY","+","US","2020-09-03","FRGUI",NA,94.52,97.39,500,491,NA,NA,"EA","ORB",2020-01-01
"46826","NAVSTAR 80 (USA 309)","2020-078A",46826,"PAY","+","US","2020-11-05","AFETR",NA,717.97,54.49,20246,20119,NA,NA,"EA","ORB",2020-01-01
