"","COSPARID","RSO_NAME","RSO_TYPE","PAYLOAD_OPERATIONAL_STATUS","ORBIT_TYPE","APPLICATION","SOURCE","LAUNCH_SITE","LAUNCH_DATE","DECAY_DATE","ORBITAL_PERIOD","12","13","14","INCLINATION","APOGEE","PERIGEE","18","19","20","21","22","23","a","e","26","27","28","29","X_","Y_","Z_","33","34","35","36","37","38","39","40","41","42","LAUNCH_YEAR","count"
"15512","2019-029AS","Starlink45","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-24",6917,0,0.925025,0,0,5.32293,6917,0,0,0,4.56849,6.0626,5796.27,-3774.64,15.1452,2.20658,3.41272,6.06271,2022,2019-01-01,1
"15513","2019-029AT","Starlink46","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-11-17",6917,0,0.925025,0,0,0.331201,6917,0,0,0,4.56849,6.0626,3795,-5782.96,15.195,3.39035,2.24081,6.0627,2022,2019-01-01,1
"15514","2019-029AU","Starlink47","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-25",6917,0,0.925025,0,0,6.08357,6917,0,0,0,4.56849,6.0626,5730.48,-3873.79,15.146,2.26496,3.37425,6.06271,2022,2019-01-01,1
"15515","2019-029AV","Starlink48","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-11-28",6917,0,0.925025,0,0,0.543993,6917,0,0,0,4.56849,6.0626,2639.5,-6393.57,15.2235,3.75133,1.56312,6.0627,2022,2019-01-01,1
"15516","2019-029AW","Starlink49","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-29",6917,0,0.925025,0,0,2.28163,6917,0,0,0,4.56849,6.0626,5450.57,-4258.63,15.1572,2.4916,3.21055,6.06271,2022,2019-01-01,1
"15517","2019-029AX","Starlink50","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-29",6917,0,0.925025,0,0,4.01818,6917,0,0,0,4.56849,6.0626,6842.24,-1014.13,15.1106,0.582728,4.02194,6.06272,2022,2019-01-01,1
"15518","2019-029AY","Starlink51","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-15",6917,0,0.925025,0,0,0.722445,6917,0,0,0,4.56849,6.0626,6308.99,-2835.73,15.1356,1.65397,3.71215,6.06271,2022,2019-01-01,1
"15519","2019-029AZ","Starlink52","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-12",6917,0,0.925025,0,0,5.37804,6917,0,0,0,4.56849,6.0626,6446.95,-2506.29,15.1286,1.46015,3.79257,6.06272,2022,2019-01-01,1
"15520","2019-029BA","Starlink53","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-08-06",6917,0,0.925025,0,0,4.74448,6917,0,0,0,4.56849,6.0626,4908.94,4873.09,15.0374,-2.87244,2.87487,6.0627,2022,2019-01-01,1
"15521","2019-029BB","Starlink54","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-15",6917,0,0.925025,0,0,1.00256,6917,0,0,0,4.56849,6.0626,6309.08,-2835.52,15.1356,1.65385,3.7122,6.06271,2022,2019-01-01,1
